timestamp_g_arrwAdc1Data[0];g_arrwAdc1Data[0];timestamp_g_arrwAdc1Data[1];g_arrwAdc1Data[1]
1683400444873;4092;1683400444873;4095
1683400444873;4095;1683400444873;4095
1683400444874;4089;1683400444874;4087
1683400444874;4089;1683400444874;4078
1683400444875;4093;1683400444875;4095
1683400444875;4091;1683400444875;4091
1683400444876;4090;1683400444876;4088
1683400444876;4091;1683400444876;4089
1683400444877;4089;1683400444877;4091
1683400444877;4093;1683400444877;4093
1683400444878;4091;1683400444878;4091
1683400444878;4079;1683400444878;4085
1683400444879;4091;1683400444879;4092
1683400444879;4095;1683400444879;4092
1683400444880;4091;1683400444880;4091
1683400444880;4093;1683400444880;4094
1683400444881;4093;1683400444881;4091
1683400444881;4093;1683400444881;4084
1683400444882;4095;1683400444882;4078
1683400444882;4093;1683400444882;4095
1683400444883;4093;1683400444883;4089
1683400444883;4070;1683400444883;4091
1683400444884;4074;1683400444884;4092
1683400444884;4094;1683400444884;4089
1683400444885;4095;1683400444885;4094
1683400444885;4089;1683400444885;4087
1683400444886;4070;1683400444886;4085
1683400444886;4091;1683400444886;4093
1683400444887;4095;1683400444887;4091
1683400444887;4089;1683400444887;4090
1683400444888;4089;1683400444888;4091
1683400444888;4089;1683400444888;4095
1683400444889;4093;1683400444889;4091
1683400444889;4092;1683400444889;4090
1683400444890;4089;1683400444890;4094
1683400444890;4092;1683400444890;4087
1683400444890;4094;1683400444890;4087
1683400444891;4088;1683400444891;4091
1683400444891;4091;1683400444891;4095
1683400444892;4092;1683400444892;4095
1683400444892;4090;1683400444892;4091
1683400444893;4091;1683400444893;4095
1683400444894;4089;1683400444894;4095
1683400444895;4080;1683400444895;4091
1683400444895;4095;1683400444895;4094
1683400444895;4094;1683400444895;4092
1683400444896;4089;1683400444896;4091
1683400444896;4095;1683400444896;4095
1683400444897;4084;1683400444897;4093
1683400444897;4092;1683400444897;4093
1683400444898;4095;1683400444898;4089
1683400444898;4090;1683400444898;4091
1683400444899;4087;1683400444899;4095
1683400444899;4095;1683400444899;4095
1683400444900;4093;1683400444900;4092
1683400444900;4089;1683400444900;4087
1683400444901;4087;1683400444901;4093
1683400444901;4091;1683400444901;4090
1683400444902;4085;1683400444902;4095
1683400444902;4093;1683400444902;4093
1683400444903;4093;1683400444903;4092
1683400444903;4089;1683400444903;4091
1683400444904;4089;1683400444904;4093
1683400444904;4095;1683400444904;4095
1683400444904;4083;1683400444904;4095
1683400444905;4092;1683400444905;4083
1683400444905;4095;1683400444905;4095
1683400444906;4089;1683400444906;4091
1683400444906;4092;1683400444906;4090
1683400444907;4088;1683400444907;4089
1683400444907;4093;1683400444907;4094
