time	V(vout)
2.830357142857142e-004	4.512207e-001
2.833333333333333e-004	4.515724e-001
2.857142857142856e-004	4.504986e-001
2.860119047619047e-004	4.508597e-001
2.889880952380951e-004	4.593267e-001
2.892857142857142e-004	4.596760e-001
2.916666666666666e-004	4.585829e-001
2.919642857142856e-004	4.589416e-001
2.949404761904760e-004	4.673845e-001
2.952380952380951e-004	4.677315e-001
2.976190476190475e-004	4.666192e-001
2.979166666666665e-004	4.669755e-001
3.008928571428570e-004	4.753946e-001
3.011904761904761e-004	4.757392e-001
3.035714285714284e-004	4.746079e-001
3.038690476190475e-004	4.749618e-001
3.068452380952380e-004	4.833572e-001
3.071428571428570e-004	4.836994e-001
3.095238095238094e-004	4.825491e-001
3.098214285714285e-004	4.829007e-001
3.127976190476189e-004	4.912724e-001
3.130952380952380e-004	4.916123e-001
3.154761904761904e-004	4.904432e-001
3.157738095238094e-004	4.907924e-001
3.187499999999999e-004	4.991407e-001
3.190476190476189e-004	4.994783e-001
3.214285714285713e-004	4.982904e-001
3.217261904761904e-004	4.986373e-001
3.247023809523808e-004	5.069624e-001
3.249999999999999e-004	5.072975e-001
3.273809523809523e-004	5.060911e-001
3.276785714285713e-004	5.064357e-001
3.306547619047618e-004	5.147375e-001
3.309523809523808e-004	5.150704e-001
3.333333333333332e-004	5.138455e-001
3.336309523809523e-004	5.141878e-001
3.366071428571427e-004	5.224665e-001
3.369047619047618e-004	5.227972e-001
3.392857142857142e-004	5.215539e-001
3.395833333333332e-004	5.218939e-001
3.425595238095237e-004	5.301498e-001
3.428571428571427e-004	5.304781e-001
3.452380952380951e-004	5.292165e-001
3.455357142857142e-004	5.295542e-001
3.485119047619046e-004	5.377873e-001
3.488095238095237e-004	5.381134e-001
3.511904761904761e-004	5.368336e-001
3.514880952380951e-004	5.371691e-001
3.544642857142855e-004	5.453796e-001
3.547619047619046e-004	5.457034e-001
3.571428571428570e-004	5.444056e-001
3.574404761904760e-004	5.447388e-001
3.604166666666665e-004	5.529268e-001
3.607142857142856e-004	5.532483e-001
3.630952380952379e-004	5.519326e-001
3.633928571428570e-004	5.522636e-001
3.663690476190475e-004	5.604292e-001
3.666666666666665e-004	5.607485e-001
3.690476190476189e-004	5.594149e-001
3.693452380952380e-004	5.597436e-001
3.723214285714284e-004	5.678871e-001
3.726190476190475e-004	5.682041e-001
3.749999999999999e-004	5.668529e-001
3.752976190476189e-004	5.671794e-001
3.782738095238094e-004	5.753006e-001
3.785714285714284e-004	5.756155e-001
3.809523809523808e-004	5.742466e-001
3.812499999999999e-004	5.745710e-001
3.842261904761903e-004	5.826703e-001
3.845238095238094e-004	5.829830e-001
3.869047619047618e-004	5.815966e-001
3.872023809523808e-004	5.819187e-001
3.901785714285713e-004	5.899962e-001
3.904761904761903e-004	5.903066e-001
3.928571428571427e-004	5.889028e-001
3.931547619047618e-004	5.892228e-001
3.953235714285671e-004	5.950955e-001
3.961309523809522e-004	5.972786e-001
3.964285714285713e-004	5.975869e-001
3.988095238095237e-004	5.961658e-001
3.991071428571427e-004	5.964835e-001
4.020833333333332e-004	6.045178e-001
4.023809523809522e-004	6.048239e-001
4.047619047619046e-004	6.033856e-001
4.050595238095237e-004	6.037012e-001
4.080357142857141e-004	6.117140e-001
4.083333333333332e-004	6.120180e-001
4.107142857142856e-004	6.105626e-001
4.110119047619046e-004	6.108760e-001
4.139880952380951e-004	6.188675e-001
4.142857142857142e-004	6.191694e-001
4.166666666666665e-004	6.176969e-001
4.169642857142855e-004	6.180083e-001
4.199404761904760e-004	6.259786e-001
4.202380952380951e-004	6.262783e-001
4.226190476190474e-004	6.247890e-001
4.229166666666665e-004	6.250982e-001
4.258928571428569e-004	6.330474e-001
4.261904761904760e-004	6.333451e-001
4.285714285714284e-004	6.318389e-001
4.288690476190475e-004	6.321461e-001
4.318452380952379e-004	6.400743e-001
4.321428571428570e-004	6.403700e-001
4.345238095238093e-004	6.388471e-001
4.348214285714284e-004	6.391521e-001
4.377976190476189e-004	6.470596e-001
4.380952380952379e-004	6.473531e-001
4.404761904761903e-004	6.458136e-001
4.407738095238094e-004	6.461166e-001
4.437499999999998e-004	6.540033e-001
4.440476190476189e-004	6.542947e-001
4.464285714285713e-004	6.527387e-001
4.467261904761903e-004	6.530397e-001
4.497023809523808e-004	6.609058e-001
4.499999999999998e-004	6.611952e-001
4.523809523809522e-004	6.596228e-001
4.526785714285713e-004	6.599217e-001
4.556547619047617e-004	6.677674e-001
4.559523809523808e-004	6.680548e-001
4.583333333333332e-004	6.664661e-001
4.586309523809522e-004	6.667629e-001
4.616071428571427e-004	6.745883e-001
4.619047619047617e-004	6.748736e-001
4.642857142857141e-004	6.732687e-001
4.645833333333332e-004	6.735635e-001
4.675595238095236e-004	6.813686e-001
4.678571428571427e-004	6.816519e-001
4.702380952380951e-004	6.800309e-001
4.705357142857141e-004	6.803237e-001
4.735119047619046e-004	6.881088e-001
4.738095238095237e-004	6.883901e-001
4.761904761904760e-004	6.867530e-001
4.764880952380950e-004	6.870438e-001
4.794642857142855e-004	6.948089e-001
4.797619047619046e-004	6.950882e-001
4.821428571428569e-004	6.934353e-001
4.824404761904760e-004	6.937240e-001
4.854166666666664e-004	7.014693e-001
4.857142857142855e-004	7.017466e-001
4.880952380952379e-004	7.000778e-001
4.883928571428569e-004	7.003646e-001
4.913690476190475e-004	7.080901e-001
4.916666666666665e-004	7.083655e-001
4.940476190476188e-004	7.066810e-001
4.943452380952379e-004	7.069658e-001
4.973214285714285e-004	7.146717e-001
4.976190476190475e-004	7.149451e-001
4.999999999999998e-004	7.132449e-001
5.002976190476189e-004	7.135278e-001
5.032738095238094e-004	7.212142e-001
5.035714285714284e-004	7.214857e-001
5.059523809523807e-004	7.197699e-001
5.062499999999998e-004	7.200509e-001
5.092261904761904e-004	7.277179e-001
5.095238095238094e-004	7.279874e-001
5.119047619047617e-004	7.262561e-001
5.122023809523808e-004	7.265352e-001
5.151785714285713e-004	7.341830e-001
5.154761904761903e-004	7.344505e-001
5.178571428571426e-004	7.327039e-001
5.181547619047617e-004	7.329810e-001
5.211309523809522e-004	7.406096e-001
5.214285714285712e-004	7.408753e-001
5.238095238095235e-004	7.391135e-001
5.241071428571426e-004	7.393886e-001
5.270833333333332e-004	7.469982e-001
5.273809523809522e-004	7.472620e-001
5.297619047619045e-004	7.454849e-001
5.300595238095236e-004	7.457582e-001
5.330357142857141e-004	7.533488e-001
5.333333333333331e-004	7.536107e-001
5.357142857142854e-004	7.518185e-001
5.360119047619045e-004	7.520900e-001
5.389880952380951e-004	7.596618e-001
5.392857142857142e-004	7.599218e-001
5.416666666666664e-004	7.581146e-001
5.419642857142855e-004	7.583842e-001
5.449404761904760e-004	7.659373e-001
5.452380952380951e-004	7.661954e-001
5.476190476190473e-004	7.643733e-001
5.479166666666664e-004	7.646410e-001
5.508928571428570e-004	7.721756e-001
5.511904761904761e-004	7.724319e-001
5.535714285714283e-004	7.705949e-001
5.538690476190474e-004	7.708607e-001
5.568452380952379e-004	7.783768e-001
5.571428571428570e-004	7.786312e-001
5.595238095238092e-004	7.767795e-001
5.598214285714283e-004	7.770436e-001
5.627976190476189e-004	7.845412e-001
5.630952380952380e-004	7.847938e-001
5.654761904761903e-004	7.829275e-001
5.657738095238093e-004	7.831897e-001
5.687499999999998e-004	7.906690e-001
5.690476190476189e-004	7.909198e-001
5.714285714285712e-004	7.890389e-001
5.717261904761902e-004	7.892993e-001
5.747023809523808e-004	7.967605e-001
5.749999999999999e-004	7.970095e-001
5.773809523809522e-004	7.951141e-001
5.776785714285712e-004	7.953727e-001
5.806547619047617e-004	8.028159e-001
5.809523809523808e-004	8.030630e-001
5.833333333333331e-004	8.011532e-001
5.836309523809521e-004	8.014100e-001
5.866071428571426e-004	8.088352e-001
5.869047619047617e-004	8.090806e-001
5.892857142857140e-004	8.071565e-001
5.895833333333330e-004	8.074115e-001
5.925595238095236e-004	8.148189e-001
5.928571428571427e-004	8.150625e-001
5.952380952380950e-004	8.131242e-001
5.955357142857140e-004	8.133774e-001
5.985119047619045e-004	8.207670e-001
5.985416666666665e-004	8.208277e-001
5.988095238095236e-004	8.210089e-001
6.011904761904759e-004	8.190564e-001
6.014880952380949e-004	8.193079e-001
6.044642857142855e-004	8.266799e-001
6.047619047619046e-004	8.269200e-001
6.071428571428569e-004	8.249534e-001
6.074404761904759e-004	8.252031e-001
6.104166666666664e-004	8.325576e-001
6.107142857142855e-004	8.327960e-001
6.130952380952378e-004	8.308155e-001
6.133928571428568e-004	8.310634e-001
6.163690476190475e-004	8.384005e-001
6.166666666666665e-004	8.386371e-001
6.190476190476188e-004	8.366427e-001
6.193452380952379e-004	8.368889e-001
